37654.7842401501	62497.0606629143	2000
37818.7969924812	62488.2205513784	2000
37992.4575738529	62473.4129478316	2000
38176.0101010101	62452.7777777778	2000
38369.5238095238	62426.1587301587	2000
38573.6572890026	62393.6061381074	2000
38788.6524822695	62354.8678272083	2000
39015.1041666667	62309.8958333333	2000
39253.7195523371	62258.5911784068	2000
39505.6000000000	62200.8000000000	2000
39771.7376605815	62136.5787694388	2000
40053.2967032967	62065.3846153846	2000
40349.6855345912	61989.0985324948	2000
40662.6780626781	61907.9772079772	2000
40995.2000000000	61821.9636363636	2000
41349.4047619048	61731.2500000000	2000
41729.0617848970	61635.6979405034	2000
42137.6175548589	61535.1097178683	2000
42579.8224374496	61429.8627925747	2000
43061.3333333333	61319	2000
